instante;testa_pequena_r;testa_pequena_g;testa_pequena_b;testa_pequena_px;testa_grande_r;testa_grande_g;testa_grande_b;testa_grande_px;bochechas_r;bochechas_g;bochechas_b;bochechas_px;conjunto_pequeno_r;conjunto_pequeno_g;conjunto_pequeno_b;conjunto_pequeno_px;conjunto_grande_r;conjunto_grande_g;conjunto_grande_b;conjunto_grande_px;fundo_r;fundo_g;fundo_b;caixa_x;caixa_y;caixa_l;caixa_a
0.45131;123.3149;93.3933;92.2649;2118;136.9874;101.1925;97.5387;3880;96.4591;95.9156;101.5417;9561;102.5789;94.9571;99.0429;8761;127.7495;94.9213;91.8503;9311;174.7158;176.1748;174.7416;67;165;294;294
0.48983;123.3149;93.3933;92.2649;2118;136.9874;101.1925;97.5387;3880;96.4591;95.9156;101.5417;9561;102.5789;94.9571;99.0429;8761;127.7495;94.9213;91.8503;9311;174.7158;176.1748;174.7416;67;165;294;294
0.52600;131.9572;99.8578;98.9143;2264;141.9534;105.3056;102.6971;4140;94.8297;95.4082;104.4022;8697;104.0513;96.2179;102.8207;8142;108.0473;97.8173;103.4870;15618;173.0885;173.1572;173.5802;67;165;294;294
0.54536;131.9572;99.8578;98.9143;2264;141.9534;105.3056;102.6971;4140;94.8297;95.4082;104.4022;8697;104.0513;96.2179;102.8207;8142;108.0473;97.8173;103.4870;15618;173.0885;173.1572;173.5802;67;165;294;294
0.58405;132.8109;102.0914;101.6214;2813;142.6267;106.2857;104.2617;4795;96.5664;98.4491;109.7082;8376;106.5169;99.0310;107.4235;8234;111.9269;100.9055;107.3098;16061;172.1957;171.1489;172.7382;67;165;294;294
0.60347;129.9695;101.0496;100.5364;2461;139.1453;104.6596;103.4952;4081;99.4302;99.4638;109.9385;7948;107.7232;100.3920;108.2537;7559;111.9110;101.0208;107.4839;14601;172.1957;171.1489;172.7382;68;167;281;281
0.63997;157.2468;122.1797;117.2386;2804;162.9796;123.7169;118.7792;5054;113.6919;108.8647;116.8722;8482;126.2795;112.8284;117.4844;8385;129.9185;113.6348;117.0729;16031;181.9503;180.6832;182.3565;68;167;281;281
0.68126;167.3111;125.4526;120.4536;3144;165.4412;124.5993;119.7893;5433;122.9504;115.7306;121.4391;8959;136.6042;117.6986;120.1390;8972;165.2978;124.9469;118.7591;10786;181.5433;180.0793;182.5768;78;163;277;277
0.72553;167.3111;125.4526;120.4536;3144;165.4412;124.5993;119.7893;5433;122.9504;115.7306;121.4391;8959;136.6042;117.6986;120.1390;8972;165.2978;124.9469;118.7591;10786;181.5433;180.0793;182.5768;78;163;277;277
0.74580;168.8324;127.6672;121.9597;3347;167.5129;128.8695;123.4398;5810;166.4359;125.7842;118.1296;4444;138.2716;117.9966;120.3135;9449;167.0886;127.9132;121.2150;11539;180.5715;177.8273;181.2604;81;157;279;279
0.79322;168.8324;127.6672;121.9597;3347;167.5129;128.8695;123.4398;5810;166.4359;125.7842;118.1296;4444;138.2716;117.9966;120.3135;9449;167.0886;127.9132;121.2150;11539;180.5715;177.8273;181.2604;81;157;279;279
0.81331;176.6363;136.3329;130.7247;3346;174.6247;136.8906;131.0145;5932;173.4556;132.1739;123.9625;4561;174.8921;133.6031;126.9010;6356;174.4516;135.4861;128.2556;11892;184.8469;182.2708;186.1175;81;154;278;278
0.85914;176.6363;136.3329;130.7247;3346;174.6247;136.8906;131.0145;5932;173.4556;132.1739;123.9625;4561;174.8921;133.6031;126.9010;6356;174.4516;135.4861;128.2556;11892;184.8469;182.2708;186.1175;81;154;278;278
0.87707;175.3306;135.1496;129.9463;3276;173.9545;136.8518;131.0581;5977;175.8544;135.3387;125.9385;4780;176.5609;135.1461;127.8778;6261;173.9993;135.9219;128.5063;12376;184.7667;181.7082;186.5044;85;152;276;276
0.92449;178.6669;140.9899;135.7309;3266;175.2774;140.6796;135.6885;6410;175.0738;133.5361;125.7164;4809;177.8270;136.9793;130.3481;6363;174.4683;137.0903;130.8327;12745;184.5854;181.9683;187.6152;85;152;276;276
0.94198;179.7522;142.5518;136.6300;3184;175.8529;141.5345;136.1699;6451;176.3524;134.9334;126.5180;5017;179.5132;138.6314;131.3822;6343;175.0276;137.8149;131.1964;12852;184.5854;181.9683;187.6152;86;150;275;275
0.98738;187.2785;148.1928;141.1488;3185;183.0525;146.9007;140.9490;6476;184.4006;145.3599;135.8856;5290;187.7644;147.3940;138.6635;6630;182.7194;145.4254;137.9819;13309;190.3158;187.6639;193.2187;86;150;275;275
1.00634;187.2312;147.8897;140.9761;3136;183.2845;146.8763;140.9202;6282;185.3684;146.0480;136.2487;5166;187.6894;147.2133;138.5765;6562;182.7011;145.3683;137.8922;13122;190.3158;187.6639;193.2187;88;151;272;272
1.05151;189.4033;151.6076;141.6890;3132;185.0613;150.1711;140.9888;6423;183.2023;143.1938;132.7652;5315;188.1682;148.0641;137.5209;6594;181.9845;145.0062;135.6373;13449;190.9692;188.7471;193.2019;88;151;272;272
1.06918;189.1148;151.6049;141.5242;3285;184.8401;150.3187;141.1877;6712;182.7543;142.7982;132.4564;5327;187.9973;147.9158;137.3889;6791;181.7290;144.9015;135.6549;13689;190.9692;188.7471;193.2019;85;150;276;276
1.10843;188.7629;151.9070;141.7072;3214;184.9622;150.6623;141.5901;6701;182.4659;144.1050;132.7997;5381;187.4903;148.6682;137.5797;6726;181.4536;145.6085;136.0474;13899;190.9065;189.6120;194.2976;85;150;276;276
1.16123;189.4218;139.7079;100.1731;3478;186.0963;139.0286;99.9821;7137;184.2885;133.8132;92.1736;6001;188.1073;137.2773;96.5813;7457;182.8326;134.2066;94.1215;15213;226.6407;224.6704;213.9263;82;150;276;276
1.20943;189.4218;139.7079;100.1731;3478;186.0963;139.0286;99.9821;7137;184.2885;133.8132;92.1736;6001;188.1073;137.2773;96.5813;7457;182.8326;134.2066;94.1215;15213;226.6407;224.6704;213.9263;82;150;276;276
1.22758;185.2302;146.9066;122.2489;3415;181.7607;145.4478;121.8518;7037;178.7265;136.3744;109.7121;5668;184.4222;142.7612;116.9405;7006;177.7964;138.9816;114.2423;14570;204.5097;207.3497;202.8637;80;150;275;275
1.28006;185.2302;146.9066;122.2489;3415;181.7607;145.4478;121.8518;7037;178.7265;136.3744;109.7121;5668;184.4222;142.7612;116.9405;7006;177.7964;138.9816;114.2423;14570;204.5097;207.3497;202.8637;80;150;275;275
1.29695;187.3169;141.7008;142.3489;2941;185.9491;142.7025;143.0014;5732;191.9763;141.7643;137.5264;4730;190.8552;141.8500;140.1726;5995;187.4466;141.1068;139.2869;11801;187.0480;176.0120;187.8369;78;150;274;274
1.34325;187.3169;141.7008;142.3489;2941;185.9491;142.7025;143.0014;5732;191.9763;141.7643;137.5264;4730;190.8552;141.8500;140.1726;5995;187.4466;141.1068;139.2869;11801;187.0480;176.0120;187.8369;78;150;274;274
1.36030;199.3381;157.2663;148.6129;3038;194.9386;155.9279;148.6587;6464;194.1158;146.7206;135.7672;5300;198.1241;151.9969;141.9556;6423;191.9714;149.1167;140.4227;13753;196.8181;191.5679;198.0789;75;150;273;273
1.39753;199.3381;157.2663;148.6129;3038;194.9386;155.9279;148.6587;6464;194.1158;146.7206;135.7672;5300;198.1241;151.9969;141.9556;6423;191.9714;149.1167;140.4227;13753;196.8181;191.5679;198.0789;75;150;273;273
1.41258;198.4654;156.4690;148.9764;3096;193.5301;154.2384;147.9030;6321;197.4170;149.7511;138.7968;5070;198.9111;153.0284;143.3738;6442;192.8967;149.9877;141.9465;13242;196.7835;191.4543;198.1374;73;150;271;271
1.45296;198.4654;156.4690;148.9764;3096;193.5301;154.2384;147.9030;6321;197.4170;149.7511;138.7968;5070;198.9111;153.0284;143.3738;6442;192.8967;149.9877;141.9465;13242;196.7835;191.4543;198.1374;73;150;271;271
1.47102;196.8146;155.3146;148.8231;3058;193.0069;154.4770;149.1452;6247;198.0600;149.9376;140.7578;4983;198.7948;152.9135;144.9160;6297;193.5309;150.6882;143.7385;13157;197.6125;191.9244;199.2134;72;150;269;269
1.53033;200.3716;160.5918;155.6549;2979;196.6786;159.8276;155.4295;6095;197.3715;148.7878;141.1818;4939;200.2049;154.7005;148.2673;6124;194.9514;152.7235;147.0116;12895;197.6833;191.8388;200.0140;72;150;269;269
1.54590;200.3675;160.5827;155.6500;2974;196.3238;159.6161;155.2868;6057;197.3616;148.8417;141.2685;4984;200.1695;154.5639;148.1617;6152;195.1378;152.8253;147.1260;12613;197.6833;191.8388;200.0140;72;150;268;268
1.59304;197.1470;155.4548;151.6322;2953;194.3427;155.2373;152.0008;5886;200.7329;154.3193;146.8630;4845;200.1351;154.8058;148.9007;6025;195.9624;153.3518;148.3156;12223;197.8446;191.4597;200.0876;72;150;268;268
1.60850;196.8960;155.4182;151.7110;2934;194.2374;155.3622;152.1298;5770;200.9654;153.7042;146.2877;4595;200.2103;154.8251;148.9270;5934;196.0633;153.3958;148.3618;12025;197.8446;191.4597;200.0876;71;150;267;267
1.64674;199.8115;159.5597;157.5493;2891;197.5077;160.4987;158.0993;5570;199.4247;151.8343;144.9398;4648;201.0086;155.8412;151.0532;5901;196.5130;154.4431;150.1854;11932;198.6553;191.9598;200.9639;71;150;267;267
1.66239;199.3705;159.1567;157.2740;2872;197.1147;160.1793;157.8635;5510;199.4673;151.3742;144.5283;4573;200.4853;155.0051;150.4365;5881;196.5797;154.3028;150.0815;11805;198.6553;191.9598;200.9639;70;150;266;266
1.70750;209.5256;170.4669;170.9894;2827;207.5815;170.8284;170.8314;5467;210.3082;164.9125;160.8925;4698;210.8324;167.4932;165.4721;5920;207.6675;166.7965;164.9399;11808;204.7040;196.4918;205.9116;70;150;266;266
1.72363;209.2064;170.3841;170.9241;2859;207.5440;171.1637;171.0501;5454;210.7540;164.7768;160.8717;4605;210.7506;167.1709;165.2653;5911;207.9395;167.0820;165.1544;11694;204.7040;196.4918;205.9116;68;149;266;266
1.77100;208.9235;168.9964;170.9281;2809;207.9337;170.4707;171.6398;5247;211.3078;164.8290;161.8670;4525;211.0827;166.5999;165.7986;5769;208.1088;166.3061;165.5548;11486;205.3304;194.2645;205.0382;68;149;266;266
1.78976;208.9375;169.4207;171.2142;2862;208.1102;170.9168;171.9591;5263;211.4549;164.6793;161.6777;4555;211.2934;166.9190;166.0564;5812;208.4659;166.6950;165.8598;11429;205.3304;194.2645;205.0382;67;148;266;266
1.82908;212.5261;173.7752;177.7301;2642;211.2126;175.4279;177.6502;4905;183.3320;169.0478;177.7639;8480;189.6053;167.3221;175.4418;8255;211.2585;169.1552;169.0410;10470;204.7641;193.7408;205.2419;67;148;266;266
1.88317;209.0801;169.4651;174.9981;2610;210.1163;172.2565;176.1680;4506;186.7496;174.1651;183.3585;8438;190.8681;169.2552;178.1803;8226;211.5748;169.4344;170.7839;10058;204.8677;192.9145;205.6205;67;147;266;266
1.92621;209.0801;169.4651;174.9981;2610;210.1163;172.2565;176.1680;4506;186.7496;174.1651;183.3585;8438;190.8681;169.2552;178.1803;8226;211.5748;169.4344;170.7839;10058;204.8677;192.9145;205.6205;67;147;266;266
1.94882;211.8032;174.2858;179.0649;2327;212.5910;176.5886;179.8789;4054;213.1541;165.1029;163.8468;4178;189.8438;169.2970;177.8470;7849;211.5314;169.1708;169.9681;9624;205.1555;194.0137;205.9100;67;146;264;264
1.99029;211.8032;174.2858;179.0649;2327;212.5910;176.5886;179.8789;4054;213.1541;165.1029;163.8468;4178;189.8438;169.2970;177.8470;7849;211.5314;169.1708;169.9681;9624;205.1555;194.0137;205.9100;67;146;264;264
2.01099;211.2507;172.1040;177.5964;2106;213.1713;174.5356;178.6077;3620;188.8250;176.6283;186.6483;8531;192.1043;172.5998;182.4649;7673;195.5642;176.1719;184.5319;14687;204.5421;192.7450;205.8335;66;144;264;264
